hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(32,)",relu,0.0001,0.0001,32,16.672914924899562,80
"(32,)",relu,0.0001,0.0001,64,16.679610206289315,126
"(32,)",relu,0.0001,0.0001,128,16.6898170390562,144
"(32,)",relu,0.0001,0.001,32,16.6729894598997,80
"(32,)",relu,0.0001,0.001,64,16.67958430134269,126
"(32,)",relu,0.0001,0.001,128,16.689868214713393,144
"(32,)",relu,0.0001,0.01,32,16.67272536409339,80
"(32,)",relu,0.0001,0.01,64,16.67950126085738,126
"(32,)",relu,0.0001,0.01,128,16.689767280380586,144
"(32,)",relu,0.0001,0.1,32,16.66992137037422,80
"(32,)",relu,0.0001,0.1,64,16.678338005724573,126
"(32,)",relu,0.0001,0.1,128,16.68917794607963,144
"(32,)",relu,0.0005,0.0001,32,16.765264496232426,45
"(32,)",relu,0.0005,0.0001,64,16.725978632768236,64
"(32,)",relu,0.0005,0.0001,128,16.63196795276309,97
"(32,)",relu,0.0005,0.001,32,16.76809459659094,45
"(32,)",relu,0.0005,0.001,64,16.727169552505128,64
"(32,)",relu,0.0005,0.001,128,16.633394686658697,97
"(32,)",relu,0.0005,0.01,32,16.76927408516115,45
"(32,)",relu,0.0005,0.01,64,16.728249158542496,64
"(32,)",relu,0.0005,0.01,128,16.63318620203746,97
"(32,)",relu,0.0005,0.1,32,16.74451175043655,45
"(32,)",relu,0.0005,0.1,64,16.714092137659858,47
"(32,)",relu,0.0005,0.1,128,16.63238703681407,97
"(32,)",relu,0.001,0.0001,32,16.578390019200928,35
"(32,)",relu,0.001,0.0001,64,16.742030868685422,45
"(32,)",relu,0.001,0.0001,128,16.642023134402848,45
"(32,)",relu,0.001,0.001,32,16.566111356869996,35
"(32,)",relu,0.001,0.001,64,16.742147654913385,45
"(32,)",relu,0.001,0.001,128,16.64328535674517,45
"(32,)",relu,0.001,0.01,32,16.571913883836483,35
"(32,)",relu,0.001,0.01,64,16.7406523950677,45
"(32,)",relu,0.001,0.01,128,16.641360459573058,45
"(32,)",relu,0.001,0.1,32,16.56586417204783,35
"(32,)",relu,0.001,0.1,64,16.744082921830696,45
"(32,)",relu,0.001,0.1,128,16.64031738349274,45
"(32,)",relu,0.005,0.0001,32,16.911074679971442,19
"(32,)",relu,0.005,0.0001,64,16.984769017465005,32
"(32,)",relu,0.005,0.0001,128,16.569061206364616,35
"(32,)",relu,0.005,0.001,32,16.9582117219816,19
"(32,)",relu,0.005,0.001,64,16.98212125586128,32
"(32,)",relu,0.005,0.001,128,16.57198936096463,35
"(32,)",relu,0.005,0.01,32,16.96684487313439,19
"(32,)",relu,0.005,0.01,64,16.978057143660013,32
"(32,)",relu,0.005,0.01,128,16.58325425789295,35
"(32,)",relu,0.005,0.1,32,17.063679955115905,32
"(32,)",relu,0.005,0.1,64,16.969389922517284,32
"(32,)",relu,0.005,0.1,128,16.558952287934922,35
"(32,)",relu,0.01,0.0001,32,16.781418047627383,32
"(32,)",relu,0.01,0.0001,64,17.173472962000748,32
"(32,)",relu,0.01,0.0001,128,16.794177883431217,19
"(32,)",relu,0.01,0.001,32,16.761727797468104,32
"(32,)",relu,0.01,0.001,64,16.883574240891992,14
"(32,)",relu,0.01,0.001,128,16.793418118733186,19
"(32,)",relu,0.01,0.01,32,16.799342192108128,32
"(32,)",relu,0.01,0.01,64,16.890647921570125,14
"(32,)",relu,0.01,0.01,128,16.80831623526208,19
"(32,)",relu,0.01,0.1,32,16.714250094460105,32
"(32,)",relu,0.01,0.1,64,16.876175339073768,14
"(32,)",relu,0.01,0.1,128,16.803869339261922,19
"(32,)",tanh,0.0001,0.0001,32,16.488866974496098,290
"(32,)",tanh,0.0001,0.0001,64,16.48451506073297,368
"(32,)",tanh,0.0001,0.0001,128,16.4728332405447,407
"(32,)",tanh,0.0001,0.001,32,16.48882077584995,290
"(32,)",tanh,0.0001,0.001,64,16.484533769080212,368
"(32,)",tanh,0.0001,0.001,128,16.47286611242352,407
"(32,)",tanh,0.0001,0.01,32,16.48837877849266,290
"(32,)",tanh,0.0001,0.01,64,16.484715423324488,368
"(32,)",tanh,0.0001,0.01,128,16.473181480938628,407
"(32,)",tanh,0.0001,0.1,32,16.486167181568927,290
"(32,)",tanh,0.0001,0.1,64,16.486209511861805,368
"(32,)",tanh,0.0001,0.1,128,16.473802526661068,407
"(32,)",tanh,0.0005,0.0001,32,16.378847835320485,115
"(32,)",tanh,0.0005,0.0001,64,16.462102012136715,115
"(32,)",tanh,0.0005,0.0001,128,16.4023080809313,196
"(32,)",tanh,0.0005,0.001,32,16.37885981737958,115
"(32,)",tanh,0.0005,0.001,64,16.462087070599512,115
"(32,)",tanh,0.0005,0.001,128,16.402319720800687,196
"(32,)",tanh,0.0005,0.01,32,16.37911866109038,115
"(32,)",tanh,0.0005,0.01,64,16.46191735659055,115
"(32,)",tanh,0.0005,0.01,128,16.40243715278615,196
"(32,)",tanh,0.0005,0.1,32,16.3849377500121,115
"(32,)",tanh,0.0005,0.1,64,16.460506535530747,115
"(32,)",tanh,0.0005,0.1,128,16.403748487658934,196
"(32,)",tanh,0.001,0.0001,32,16.636275396042944,63
"(32,)",tanh,0.001,0.0001,64,16.5990363223661,63
"(32,)",tanh,0.001,0.0001,128,16.348012330613543,101
"(32,)",tanh,0.001,0.001,32,16.636245567368807,63
"(32,)",tanh,0.001,0.001,64,16.599076066487875,63
"(32,)",tanh,0.001,0.001,128,16.348027463654518,101
"(32,)",tanh,0.001,0.01,32,16.63592371164302,63
"(32,)",tanh,0.001,0.01,64,16.59930255905244,63
"(32,)",tanh,0.001,0.01,128,16.348172375314803,101
"(32,)",tanh,0.001,0.1,32,16.632400871407242,63
"(32,)",tanh,0.001,0.1,64,16.597756237305433,63
"(32,)",tanh,0.001,0.1,128,16.430542284871176,101
"(32,)",tanh,0.005,0.0001,32,16.371813502628626,32
"(32,)",tanh,0.005,0.0001,64,16.430518386094978,38
"(32,)",tanh,0.005,0.0001,128,16.81053633648023,63
"(32,)",tanh,0.005,0.001,32,16.36192516992497,35
"(32,)",tanh,0.005,0.001,64,16.430730550413834,38
"(32,)",tanh,0.005,0.001,128,16.811102065029946,63
"(32,)",tanh,0.005,0.01,32,16.393565949912844,35
"(32,)",tanh,0.005,0.01,64,16.43378382045507,38
