Date,Time,Wait Time,Year,Lag1_Wait_Time,Lag2_Wait_Time,Temperature,Month,Time of Day,Day of Week_Saturday
12/09/14,09:30:00,6.0,14,12.0,13.0,11.9,12,570,False
12/09/14,10:00:00,9.0,14,6.0,23.0,16.1,12,600,False
12/09/14,10:30:00,9.0,14,9.0,23.0,16.1,12,630,False
12/09/14,11:00:00,17.0,14,12.0,40.0,18.8,12,660,False
12/09/14,11:30:00,17.0,14,19.0,49.0,18.8,12,690,False
12/09/14,12:00:00,5.0,14,19.0,37.0,20.7,12,720,False
12/09/14,12:30:00,17.0,14,19.0,46.0,20.7,12,750,False
12/09/14,13:00:00,19.0,14,26.0,46.0,21.7,12,780,False
12/09/14,13:30:00,14.0,14,36.0,23.0,21.7,12,810,False
12/09/14,14:00:00,11.0,14,19.0,23.0,22.3,12,840,False
12/09/14,14:30:00,20.0,14,16.0,34.0,22.3,12,870,False
12/09/14,15:00:00,28.0,14,16.0,50.0,22.1,12,900,False
12/09/14,15:30:00,21.0,14,32.0,32.0,22.1,12,930,False
12/09/14,16:00:00,8.0,14,11.0,32.0,20.9,12,960,False
12/09/14,16:30:00,32.0,14,11.0,35.0,20.9,12,990,False
12/09/14,17:00:00,19.0,14,6.0,35.0,19.4,12,1020,False
12/09/14,20:00:00,22.0,14,11.0,12.0,16.2,12,1200,False
12/09/14,21:00:00,22.0,14,18.0,48.0,14.3,12,1260,False
12/09/14,21:30:00,17.0,14,36.0,40.0,14.3,12,1290,False
12/09/14,22:00:00,14.0,14,23.0,37.0,13.4,12,1320,False
12/10/14,09:30:00,6.0,14,6.0,12.0,15.5,12,570,False
12/10/14,10:00:00,6.0,14,9.0,6.0,15.5,12,600,False
12/10/14,10:30:00,15.0,14,9.0,9.0,15.5,12,630,False
12/10/14,11:00:00,9.0,14,17.0,12.0,17.8,12,660,False
12/10/14,11:30:00,18.0,14,17.0,19.0,17.8,12,690,False
12/10/14,12:00:00,25.0,14,5.0,19.0,19.0,12,720,False
12/10/14,12:30:00,25.0,14,17.0,19.0,19.0,12,750,False
12/10/14,13:00:00,25.0,14,19.0,26.0,20.1,12,780,False
12/10/14,13:30:00,31.0,14,14.0,36.0,20.1,12,810,False
12/10/14,14:00:00,7.0,14,11.0,19.0,20.6,12,840,False
12/10/14,14:30:00,28.0,14,20.0,16.0,20.6,12,870,False
12/10/14,15:00:00,21.0,14,28.0,16.0,20.8,12,900,False
12/10/14,16:00:00,36.0,14,8.0,11.0,20.2,12,960,False
12/10/14,16:30:00,40.0,14,32.0,11.0,20.2,12,990,False
12/10/14,17:00:00,42.0,14,19.0,6.0,19.0,12,1020,False
12/10/14,20:00:00,32.0,14,22.0,11.0,14.8,12,1200,False
12/10/14,21:00:00,8.0,14,22.0,18.0,14.1,12,1260,False
12/10/14,21:30:00,28.0,14,17.0,36.0,14.1,12,1290,False
12/10/14,22:00:00,12.0,14,14.0,23.0,13.3,12,1320,False
12/11/14,09:30:00,16.0,14,6.0,6.0,14.6,12,570,False
12/11/14,10:00:00,9.0,14,6.0,9.0,16.4,12,600,False
12/11/14,10:30:00,11.0,14,15.0,9.0,16.4,12,630,False
12/11/14,11:00:00,11.0,14,9.0,17.0,17.4,12,660,False
12/11/14,11:30:00,31.0,14,18.0,17.0,17.4,12,690,False
12/11/14,12:00:00,38.0,14,25.0,5.0,18.2,12,720,False
12/11/14,12:30:00,31.0,14,25.0,17.0,18.2,12,750,False
12/11/14,13:00:00,14.0,14,25.0,19.0,18.7,12,780,False
12/11/14,13:30:00,22.0,14,31.0,14.0,18.7,12,810,False
12/11/14,14:00:00,22.0,14,7.0,11.0,18.8,12,840,False
12/11/14,14:30:00,28.0,14,28.0,20.0,18.8,12,870,False
12/11/14,16:00:00,34.0,14,36.0,8.0,18.5,12,960,False
12/11/14,16:30:00,33.0,14,40.0,32.0,18.5,12,990,False
12/11/14,17:00:00,38.0,14,42.0,19.0,17.9,12,1020,False
12/11/14,17:30:00,38.0,14,31.0,19.0,17.9,12,1050,False
12/11/14,18:00:00,20.0,14,13.0,22.0,16.8,12,1080,False
12/11/14,20:00:00,23.0,14,32.0,22.0,15.3,12,1200,False
12/11/14,21:00:00,23.0,14,8.0,22.0,14.8,12,1260,False
12/11/14,21:30:00,57.0,14,28.0,17.0,14.8,12,1290,False
12/11/14,22:00:00,9.0,14,12.0,14.0,14.6,12,1320,False
12/12/14,09:30:00,6.0,14,16.0,6.0,13.6,12,570,False
12/12/14,10:00:00,6.0,14,9.0,6.0,13.6,12,600,False
12/12/14,10:30:00,13.0,14,11.0,15.0,13.6,12,630,False
12/12/14,11:00:00,13.0,14,11.0,9.0,13.7,12,660,False
12/12/14,11:30:00,10.0,14,31.0,18.0,13.7,12,690,False
12/12/14,12:00:00,19.0,14,38.0,25.0,13.9,12,720,False
12/12/14,12:30:00,27.0,14,31.0,25.0,13.9,12,750,False
12/12/14,13:00:00,21.0,14,14.0,25.0,14.6,12,780,False
12/12/14,13:30:00,22.0,14,22.0,31.0,14.6,12,810,False
12/12/14,14:00:00,34.0,14,22.0,7.0,14.6,12,840,False
