Date,Time,Day of Week,Month,Time of Day,Wait Time,Is_Holiday,Is_Holiday_Adjacency,Temperature,Precipitation
12/06/14,00:00:00,Saturday,12,0,66.0,False,False,15.5,0.0
12/06/14,07:30:00,Saturday,12,450,6.0,False,False,,
12/06/14,08:00:00,Saturday,12,480,6.0,False,False,12.9,0.0
12/06/14,08:30:00,Saturday,12,510,6.0,False,False,,
12/06/14,09:00:00,Saturday,12,540,12.0,False,False,14.3,0.0
12/06/14,09:30:00,Saturday,12,570,10.0,False,False,,
12/06/14,10:00:00,Saturday,12,600,29.0,False,False,16.6,0.0
12/06/14,10:30:00,Saturday,12,630,7.0,False,False,,
12/06/14,11:00:00,Saturday,12,660,7.0,False,False,18.0,0.0
12/06/14,11:30:00,Saturday,12,690,43.0,False,False,,
12/06/14,12:00:00,Saturday,12,720,43.0,False,False,18.7,0.0
12/06/14,12:30:00,Saturday,12,750,75.0,False,False,,
12/06/14,13:00:00,Saturday,12,780,75.0,False,False,19.5,0.0
12/06/14,13:30:00,Saturday,12,810,73.0,False,False,,
12/06/14,14:00:00,Saturday,12,840,8.0,False,False,20.0,0.0
12/06/14,14:30:00,Saturday,12,870,8.0,False,False,,
12/06/14,15:00:00,Saturday,12,900,60.0,False,False,20.3,0.0
12/06/14,15:30:00,Saturday,12,930,76.0,False,False,,
12/06/14,16:00:00,Saturday,12,960,76.0,False,False,20.1,0.0
12/06/14,16:30:00,Saturday,12,990,70.0,False,False,,
12/06/14,17:00:00,Saturday,12,1020,72.0,False,False,19.2,0.0
12/06/14,17:30:00,Saturday,12,1050,72.0,False,False,,
12/06/14,18:00:00,Saturday,12,1080,81.0,False,False,17.7,0.0
12/06/14,18:30:00,Saturday,12,1110,12.0,False,False,,
12/06/14,19:00:00,Saturday,12,1140,12.0,False,False,16.5,0.0
12/06/14,19:30:00,Saturday,12,1170,12.0,False,False,,
12/06/14,20:00:00,Saturday,12,1200,12.0,False,False,16.3,0.0
12/06/14,20:30:00,Saturday,12,1230,23.0,False,False,,
12/06/14,21:00:00,Saturday,12,1260,23.0,False,False,16.1,0.0
12/06/14,21:30:00,Saturday,12,1290,12.0,False,False,,
12/06/14,22:00:00,Saturday,12,1320,12.0,False,False,15.7,0.0
12/06/14,22:30:00,Saturday,12,1350,37.0,False,False,,
12/06/14,23:00:00,Saturday,12,1380,37.0,False,False,15.3,0.0
12/06/14,23:30:00,Saturday,12,1410,57.0,False,False,,
12/07/14,00:00:00,Sunday,12,0,57.0,False,False,13.6,0.0
12/07/14,08:30:00,Sunday,12,510,9.0,False,False,,
12/07/14,09:00:00,Sunday,12,540,9.0,False,False,11.9,0.0
12/07/14,09:30:00,Sunday,12,570,13.0,False,False,,
12/07/14,10:00:00,Sunday,12,600,23.0,False,False,15.4,0.0
12/07/14,10:30:00,Sunday,12,630,23.0,False,False,,
12/07/14,11:00:00,Sunday,12,660,40.0,False,False,18.5,0.0
12/07/14,11:30:00,Sunday,12,690,49.0,False,False,,
12/07/14,12:00:00,Sunday,12,720,37.0,False,False,20.6,0.0
12/07/14,12:30:00,Sunday,12,750,46.0,False,False,,
12/07/14,13:00:00,Sunday,12,780,46.0,False,False,21.6,0.0
12/07/14,13:30:00,Sunday,12,810,23.0,False,False,,
12/07/14,14:00:00,Sunday,12,840,23.0,False,False,22.1,0.0
12/07/14,14:30:00,Sunday,12,870,34.0,False,False,,
12/07/14,15:00:00,Sunday,12,900,50.0,False,False,22.2,0.0
12/07/14,15:30:00,Sunday,12,930,32.0,False,False,,
12/07/14,16:00:00,Sunday,12,960,32.0,False,False,21.7,0.0
12/07/14,16:30:00,Sunday,12,990,35.0,False,False,,
12/07/14,17:00:00,Sunday,12,1020,35.0,False,False,20.5,0.0
12/07/14,18:30:00,Sunday,12,1110,88.0,False,False,,
12/07/14,19:00:00,Sunday,12,1140,38.0,False,False,17.7,0.0
12/07/14,19:30:00,Sunday,12,1170,51.0,False,False,,
12/07/14,20:00:00,Sunday,12,1200,12.0,False,False,16.7,0.0
12/07/14,20:30:00,Sunday,12,1230,33.0,False,False,,
12/07/14,21:00:00,Sunday,12,1260,48.0,False,False,15.8,0.0
12/07/14,21:30:00,Sunday,12,1290,40.0,False,False,,
12/07/14,22:00:00,Sunday,12,1320,37.0,False,False,14.8,0.0
12/07/14,22:30:00,Sunday,12,1350,37.0,False,False,,
12/08/14,00:00:00,Monday,12,0,11.0,False,False,13.7,0.0
12/08/14,09:30:00,Monday,12,570,12.0,False,False,,
12/08/14,10:00:00,Monday,12,600,6.0,False,False,16.7,0.0
12/08/14,10:30:00,Monday,12,630,9.0,False,False,,
12/08/14,11:00:00,Monday,12,660,12.0,False,False,19.4,0.0
12/08/14,11:30:00,Monday,12,690,19.0,False,False,,
12/08/14,12:00:00,Monday,12,720,19.0,False,False,21.3,0.0
12/08/14,12:30:00,Monday,12,750,19.0,False,False,,
12/08/14,13:00:00,Monday,12,780,26.0,False,False,22.4,0.0
12/08/14,13:30:00,Monday,12,810,36.0,False,False,,
12/08/14,14:00:00,Monday,12,840,19.0,False,False,23.0,0.0
12/08/14,14:30:00,Monday,12,870,16.0,False,False,,
12/08/14,15:00:00,Monday,12,900,16.0,False,False,23.3,0.0
12/08/14,15:30:00,Monday,12,930,32.0,False,False,,
12/08/14,16:00:00,Monday,12,960,11.0,False,False,22.9,0.0
12/08/14,16:30:00,Monday,12,990,11.0,False,False,,
12/08/14,17:00:00,Monday,12,1020,6.0,False,False,21.6,0.0
12/08/14,17:30:00,Monday,12,1050,17.0,False,False,,
12/08/14,18:00:00,Monday,12,1080,13.0,False,False,19.7,0.0
12/08/14,18:30:00,Monday,12,1110,11.0,False,False,,
12/08/14,19:00:00,Monday,12,1140,11.0,False,False,17.6,0.0
12/08/14,20:00:00,Monday,12,1200,11.0,False,False,17.9,0.0
